# name;mass;orbital_period;discovered;radius;semi_major_axis;star_distance;star_teff;method;star_name
GJ 3293 e;;13.2543;2017;;0.0821;17.9;3466.0;Radial Velocity;GJ 3293
GJ 3323 b;;5.3636;2017;;0.03282;;3159.0;Radial Velocity;GJ 3323
GJ 3323 c;;40.54;2017;;0.1264;;3159.0;Radial Velocity;GJ 3323
GJ 3341 b;;14.207;2014;;0.089;23.1;3526.0;Radial Velocity;GJ 3341
GJ 3470 b;0.03958;3.336649;2012;0.37380742940036;0.03557;30.7;3652.0;Primary Transit;GJ 3470
GJ 3473 b;0.00585;1.1980035;2020;0.11277;0.01589;27.39;3347.0;Primary Transit;GJ 3473
GJ 3473 c;;15.509;2020;;0.0876;27.39;3347.0;Radial Velocity;GJ 3473
GJ 3512 b;;203.69;2019;;0.337;9.489;3081.0;Radial Velocity;GJ 3512
GJ 3512 c;;1599.6;2019;;1.292;9.489;3081.0;Radial Velocity;GJ 3512
GJ 357 b;0.006566;3.93086;2019;0.10411;0.033;9.444;3505.0;Primary Transit;GJ 357
GJ 357 c;;9.1246;2019;;0.0607;9.444;3505.0;Radial Velocity;GJ 357
GJ 357 d;;55.698;2019;;0.204;9.444;3505.0;Radial Velocity;GJ 357
GJ 3634 b;0.026;2.64561;2011;;0.0287;19.8;;Radial Velocity;GJ 3634
GJ 3779 b;;3.0232;2018;;0.026;13.748;3324.0;Radial Velocity;GJ 3779
GJ 393 b;;7.02679;2021;;0.05402;7.0375;3579.0;Radial Velocity;GJ 393
GJ 3942 b;;6.905;2017;;0.0608;16.93;3867.0;Radial Velocity;GJ 3942
GJ 3998 b;;2.64977;2016;;0.029;17.8;3722.0;Radial Velocity;GJ 3998
GJ 3998 c;;13.74;2016;;0.089;17.8;3722.0;Radial Velocity;GJ 3998
GJ 414 A b;;50.817;2020;0.2632;0.24;11.893;4120.0;Radial Velocity;GJ 414 A
GJ 414 A c;;748.3;2020;0.7833;1.43;11.893;4120.0;Radial Velocity;GJ 414 A
GJ 422 b;;20.129;2014;;0.111;12.67;3323.0;Radial Velocity;GJ 422
GJ 4276 b;;13.35;2018;;0.082;21.35;3387.0;Radial Velocity;GJ 4276
GJ 4276 c;;6.675;2018;;0.052;21.35;3387.0;Radial Velocity;GJ 4276
GJ 433 b;;7.3708;2009;;0.062;9.04;3600.0;Radial Velocity;GJ 433
GJ 433 c;;4874.0;2012;;4.692;9.04;3600.0;Radial Velocity;GJ 433
GJ 433 d;;36.052;2020;;0.178;9.04;3600.0;Radial Velocity;GJ 433
GJ 436 b;0.07;2.64394;2004;0.38;0.02887;10.2;3684.0;Primary Transit;GJ 436
GJ 480 b;;9.567;2020;;0.068;14.24;;Radial Velocity;GJ 480
GJ 486 b;0.00887;1.467119;2021;0.11643;0.01734;8.0761;3340.0;Primary Transit;GJ 486
G204-39 b;29.0;;2010;;2685.0;13.9908;;Imaging;G204-39
