name;mass;orbital_period;discovered;radius;semi_major_axis;star_distance;star_teff
HIP 116454 b;0.0372;9.1265;2014;0.226;0.098;55.2;5089.0
HIP 65A b;3.213;0.9809734;2020;2.03;0.01782;61.89;4590.0
HIP 67522 b;5.0;6.959503;2020;0.8984;;127.27;56.75
HIP 75056 b;25.0;47500.0;2020;2.0;30.0;;
HIP 75458 b;16.4;510.855;2002;;1.448;31.5;4445.0
HIP 75458 c;17.0;24840.0;2021;;19.4;31.5;4445.0
HIP 97166 b;0.063;10.28891;2021;0.2444;0.089;66.08;5198.0
HR 8799 e;9.6;18000.0;2010;1.17;16.4;39.4;
HW Vir (AB) b;39.0;9750.0;2008;1.0;4.69;181.0;
HW Vir (AB) c;40.0;17000.0;2008;2.0;12.8;181.0;
K0I-1783 c;0.0472;284.060953;2017;0.4853;0.8539;887.81;5922.0
K2-10 b;0.08495;19.3044;2015;0.343;;274.48;5620.0
K2-105 b;0.094;8.267704;2017;0.301;0.0796;199.28;5464.0
K2-107 b;0.84;3.313959;2017;1.426;0.0475;696.95;6061.0
K2-108 b;0.187;4.733999;2017;0.476;0.0581;484.99;5599.0
K2-110 b;0.0525;13.86387;2017;0.228;0.1027;116.84;4950.0
K2-111 b;0.01664;5.3518;2017;0.162;0.057;201.7;5775.0
K2-113 b;1.28;5.817685;2017;1.083;0.0642;649.75;5660.0
K2-114 b;1.85;11.391013;2017;0.952;0.0954;484.8;5044.0
K2-124 b;0.033;6.413651;2017;0.259;0.049;140.4;3570.0
K2-132 b;0.49;9.1751;2017;1.3;0.0916;620.41;4840.0
K2-133 b;0.0069;3.07133;2017;0.12;0.03194;75.2;3655.0
K2-133 c;0.01;4.86784;2017;0.143;0.04341;75.2;3655.0
K2-133 d;0.026;11.02454;2017;0.179;0.07487;75.2;3655.0
K2-137 b;0.5;0.179715;2017;0.079;0.0058;99.15;3492.0
K2-138 b;0.0098;2.35322;2017;0.14;0.0338;183.0;5378.0
K2-138 c;0.0198;3.55987;2017;0.225;0.04454;183.0;5378.0
K2-138 d;0.0249;5.40478;2017;0.237;0.05883;183.0;5378.0
K2-138 e;0.0409;8.26144;2017;0.294;0.07807;183.0;5378.0
K2-138 f;0.005;12.75759;2017;0.251;0.1043;183.0;5378.0
K2-138 g;0.0135;41.96797;2018;0.2688;0.231;183.0;5378.0
K2-139 b;0.381;28.380619;2017;0.813;0.1796;154.6;5370.0
K2-140 b;0.93;6.56918;2017;1.093;0.0687;341.6;5705.0
K2-141 b;0.01598;0.2803244;2018;0.135;;61.0;4599.0
K2-141 c;0.02328;7.7485;2018;0.624;;61.0;4599.0
K2-146 b;0.01816;2.6446;2018;0.183;0.027;79.31;3385.0
K2-146 c;0.02358;4.00498;2019;0.195;0.034;79.31;3385.0
K2-155 b;0.0148;6.342;2018;0.161;0.0562;82.0;4258.0
K2-155 c;0.0205;13.85;2018;0.232;0.0946;82.0;4258.0
K2-155 d;0.0154;40.718;2018;0.17;0.1937;82.0;4258.0
K2-174 b;0.0289;19.562307;2018;0.232;0.126;100.1;4455.0
